Symbol,Date,Close,Volume,Dayoff
KDH,2022-09-04,37000.0,1030000.0,Yes
MBB,2022-09-04,23750.0,6930000.0,Yes
MSN,2022-09-04,114500.0,786700.0,Yes
MWG,2022-09-04,74000.0,4620000.0,Yes
NVL,2022-09-04,81900.0,1660000.0,Yes
PDR,2022-09-04,55200.0,2290000.0,Yes
PLX,2022-09-04,42200.0,1100000.0,Yes
POW,2022-09-04,14000.0,15220000.0,Yes
SAB,2022-09-04,187900.0,126000.0,Yes
SSI,2022-09-04,24000.0,10850000.0,Yes
STB,2022-09-04,24800.0,7670000.0,Yes
TCB,2022-09-04,38950.0,2270000.0,Yes
TPB,2022-09-04,28000.0,585300.0,Yes
VCB,2022-09-04,84000.0,1060000.0,Yes
VHM,2022-09-04,61000.0,2840000.0,Yes
VIB,2022-09-04,25000.0,1230000.0,Yes
VIC,2022-09-04,63700.0,1240000.0,Yes
VJC,2022-09-04,121600.0,526400.0,Yes
VNM,2022-09-04,75500.0,1660000.0,Yes
VPB,2022-09-04,21200.0,12680000.0,Yes
VRE,2022-09-04,27700.0,2060000.0,Yes
ACB,2022-09-05,24500.0,2310000.0,No
BID,2022-09-05,39500.0,803800.0,No
BVH,2022-09-05,59600.0,2600000.0,No
CTG,2022-09-05,27950.0,1760000.0,No
FPT,2022-09-05,86200.0,1020000.0,No
GAS,2022-09-05,116400.0,325500.0,No
GVR,2022-09-05,26200.0,2620000.0,No
HDB,2022-09-05,21120.0,1650000.0,No
HPG,2022-09-05,23900.0,26280000.0,No
KDH,2022-09-05,36800.0,927700.0,No
MBB,2022-09-05,23600.0,6380000.0,No
MSN,2022-09-05,115500.0,556800.0,No
MWG,2022-09-05,72500.0,2690000.0,No
NVL,2022-09-05,81500.0,2780000.0,No
PDR,2022-09-05,54900.0,2280000.0,No
PLX,2022-09-05,41900.0,1260000.0,No
POW,2022-09-05,14000.0,10860000.0,No
SAB,2022-09-05,188000.0,105900.0,No
SSI,2022-09-05,23700.0,10160000.0,No
STB,2022-09-05,24700.0,5290000.0,No
TCB,2022-09-05,38600.0,2790000.0,No
TPB,2022-09-05,28000.0,1830000.0,No
VCB,2022-09-05,82600.0,1550000.0,No
VHM,2022-09-05,61000.0,1530000.0,No
VIB,2022-09-05,24550.0,1550000.0,No
VIC,2022-09-05,64000.0,1310000.0,No
VJC,2022-09-05,120000.0,554600.0,No
VNM,2022-09-05,77500.0,3170000.0,No
VPB,2022-09-05,20866.0,17900000.0,No
VRE,2022-09-05,27550.0,1470000.0,No
ACB,2022-09-06,24650.0,2410000.0,No
BID,2022-09-06,40050.0,1780000.0,No
BVH,2022-09-06,59100.0,1440000.0,No
CTG,2022-09-06,28250.0,3020000.0,No
FPT,2022-09-06,85800.0,1170000.0,No
GAS,2022-09-06,116500.0,247300.0,No
GVR,2022-09-06,25900.0,2680000.0,No
HDB,2022-09-06,21360.0,2520000.0,No
HPG,2022-09-06,23550.0,15330000.0,No
KDH,2022-09-06,36200.0,1500000.0,No
MBB,2022-09-06,23650.0,6890000.0,No
MSN,2022-09-06,115000.0,337200.0,No
MWG,2022-09-06,72900.0,2600000.0,No
NVL,2022-09-06,82100.0,2300000.0,No
PDR,2022-09-06,55000.0,2730000.0,No
PLX,2022-09-06,41500.0,1500000.0,No
POW,2022-09-06,14300.0,30630000.0,No
SAB,2022-09-06,188600.0,103500.0,No
SSI,2022-09-06,23750.0,11030000.0,No
STB,2022-09-06,24700.0,6310000.0,No
TCB,2022-09-06,38650.0,2340000.0,No
TPB,2022-09-06,28000.0,1350000.0,No
VCB,2022-09-06,82700.0,1030000.0,No
VHM,2022-09-06,61100.0,1290000.0,No
VIB,2022-09-06,24600.0,2009999.0,No
VIC,2022-09-06,63300.0,1340000.0,No
VJC,2022-09-06,119700.0,513000.0,No
VNM,2022-09-06,77800.0,2650000.0,No
VPB,2022-09-06,20933.0,17360000.0,No
VRE,2022-09-06,28050.0,1800000.0,No
ACB,2022-09-07,24300.0,3210000.0,No
BID,2022-09-07,37800.0,3010000.0,No
BVH,2022-09-07,56600.0,2800000.0,No
CTG,2022-09-07,27350.0,4260000.0,No
FPT,2022-09-07,84000.0,2240000.0,No
GAS,2022-09-07,112000.0,846100.0,No
GVR,2022-09-07,25800.0,5220000.0,No
HDB,2022-09-07,20880.0,5690000.0,No
HPG,2022-09-07,23000.0,25030000.0,No
KDH,2022-09-07,35300.0,1260000.0,No
MBB,2022-09-07,23000.0,17410000.0,No
MSN,2022-09-07,112000.0,836300.0,No
MWG,2022-09-07,70700.0,5670000.0,No
NVL,2022-09-07,83800.0,3690000.0,No
PDR,2022-09-07,53800.0,2360000.0,No
PLX,2022-09-07,40000.0,2460000.0,No
POW,2022-09-07,14000.0,17780000.0,No
SAB,2022-09-07,188000.0,128400.0,No
SSI,2022-09-07,22550.0,23210000.0,No
STB,2022-09-07,24350.0,22420000.0,No
TCB,2022-09-07,37550.0,4270000.0,No
TPB,2022-09-07,27300.0,1750000.0,No
VCB,2022-09-07,80000.0,2290000.0,No
VHM,2022-09-07,59500.0,1850000.0,No
VIB,2022-09-07,24500.0,3010000.0,No
